state,species,taxon_general,taxon_specific,status,recorder,Use this link to get federally listed species in each state ->,https://ecos.fws.gov/ecp0/reports/species-listed-by-state-totals-report,,,,,,,,,,,,,,,,,,
California,Desmocerus californicus dimorphus,Invertebrates,Insects,T,Theresa,,,,,,,,,,,,,,,,,,,,
California,Gila elegans,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Euphydryas editha bayensis,Invertebrates,Insects,T,Theresa,,,,,,,,,,,,,,,,,,,,
California,Speyeria zerene behrensii,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Speyeria callippe callippe,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Euphilotes battoides allyni,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Apodemia mormo langei,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Lycaeides argyrognomon lotis,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Icaricia icarioides missionensis,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Speyeria zerene myrtleae,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
